# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11  of event 'cpu_core/mem-loads-aux/'
# Total weight : 11
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     9.52%             2  5             L1 hit                                   [k] __get_next_timer_interrupt  [kernel.kallsyms]        [k] 0xffffd3a8401abde8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] __folio_end_writeback       [kernel.kallsyms]        [k] 0xffffd3a84007ed78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] __rcu_read_lock             [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffffd3a8401abcd8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffffd3a84b7dbb70  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] __vdso_clock_gettime        [vdso]                   [.] 0x00007ffef8c05d28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] add_wait_queue              [kernel.kallsyms]        [k] 0xffffd3a84d42f9f8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] avg_vruntime                [kernel.kallsyms]        [k] 0xffff8c3f0f335f68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] do_sys_poll                 [kernel.kallsyms]        [k] 0xffffd3a84d42fa18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] ext4_writepages             [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] fdget                       [kernel.kallsyms]        [k] 0xffffd3a84d42f780  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] fdget                       [kernel.kallsyms]        [k] 0xffffd3a84d42f8b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
