# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr           [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] ip_rcv_finish_core.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] nft_do_chain               [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 4519
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                 Shared Object            Data Symbol                                          Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .....................................  .......................  ...................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     0.11%             1  5             L1 hit                                   [k] fput                               [kernel.kallsyms]        [k] 0xffff8c3c99d139c0                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        50                   0                   
     0.11%             1  5             L1 hit                                   [k] fput                               [kernel.kallsyms]        [k] 0xffff8c3d4ea42240                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.11%             1  5             L1 hit                                   [k] fput                               [kernel.kallsyms]        [k] 0xffff8c3e59b1e6c0                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        46                   0                   
     0.11%             1  5             L1 hit                                   [.] g_source_ref                       libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8                               [heap]                   None          L1 or L2 hit            Yes      N/A        45                   0                   
     0.11%             1  5             L1 hit                                   [k] get_page_from_freelist             [kernel.kallsyms]        [k] 0xffff8c3f0f331900                               [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       71                   0                   
     0.11%             1  5             L1 hit                                   [k] hrtimer_start_range_ns             [kernel.kallsyms]        [k] 0xffff8c3f0f325e88                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        58                   0                   
     0.11%             1  5             L1 hit                                   [k] kvm_lapic_expired_hv_timer         [kernel.kallsyms]        [k] 0xffff8c3bc1c46680                               [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       60                   0                   
     0.11%             1  5             L1 hit                                   [k] n_tty_poll                         [kernel.kallsyms]        [k] 0xffffd3a84d42f9d4                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        59                   0                   
     0.11%             1  5             L1 hit                                   [.] object_dynamic_cast_assert         qemu-system-x86_64       [.] 0x00007ffef8be5310                               [stack]                  None          L1 or L2 hit            No       N/A        248                  0                   
     0.11%             1  5             L1 hit                                   [k] pick_eevdf                         [kernel.kallsyms]        [k] 0xffffd3a84b233a38                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        392                  0                   
