# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18  of event 'cpu_core/mem-loads-aux/'
# Total weight : 18
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    94.44%            17  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     5.56%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6927
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                    Shared Object            Data Symbol                             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ........................................  .......................  ......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     0.07%             1  5             L1 hit                                   [k] __ct_user_exit                        [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       32                   0                   
     0.07%             1  5             L1 hit                                   [k] __schedule                            [kernel.kallsyms]        [k] 0xffff8c3d4f3f4d40                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        323                  0                   
     0.07%             1  5             L1 hit                                   [k] __switch_to                           [kernel.kallsyms]        [k] 0xffff8c3bc0decd40                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        68                   0                   
     0.07%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq              [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a9c                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        415                  0                   
     0.07%             1  5             L1 hit                                   [k] __update_load_avg_se                  [kernel.kallsyms]        [k] 0xffff8c3d4f3f4e98                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        44                   0                   
     0.07%             1  5             L1 hit                                   [k] __update_load_avg_se                  [kernel.kallsyms]        [k] 0xffffd3a8401abce0                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        595                  0                   
     0.07%             1  5             L1 hit                                   [k] __update_load_avg_se                  [kernel.kallsyms]        [k] 0xffffd3a8401abdb0                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       114                  0                   
     0.07%             1  5             L1 hit                                   [k] _raw_spin_lock                        [kernel.kallsyms]        [k] 0xffff8c3f0f335ec0                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        130                  0                   
     0.07%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave                [kernel.kallsyms]        [k] 0xffff8c3cd93ae648                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      Addr       33                   0                   
     0.07%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave                [kernel.kallsyms]        [k] 0xffffd3a84d42f918                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        108                  0                   
     0.07%             1  5             L1 hit                                   [k] do_sys_poll                           [kernel.kallsyms]        [k] 0xffffd3a84d42fa18                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        35                   0                   
     0.07%             1  5             L1 hit                                   [k] enqueue_entity                        [kernel.kallsyms]        [k] 0xffff8c3bfbe2faa8                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       43                   0                   
     0.07%             1  5             L1 hit                                   [k] fdget                                 [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        60                   0                   
     0.07%             1  5             L1 hit                                   [k] fput                                  [kernel.kallsyms]        [k] 0xffff8c3c3908e9c0                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        41                   0                   
     0.07%             1  5             L1 hit                                   [k] fput                                  [kernel.kallsyms]        [k] 0xffff8c3c99d13840                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        580                  0                   
     0.07%             1  5             L1 hit                                   [k] fput                                  [kernel.kallsyms]        [k] 0xffff8c3d520b7f00                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        67                   0                   
