# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    22.22%             2  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 102  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 5277
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     0.09%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abcf0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        224                  0                   
     0.09%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave                 [kernel.kallsyms]        [k] 0xffff8c3cd93ae648                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        32                   0                   
     0.09%             1  5             L1 hit                                   [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffff8c3f0f335f50                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        54                   0                   
     0.09%             1  5             L1 hit                                   [k] eventfd_poll                           [kernel.kallsyms]        [k] 0xffffd3a84d42f92c                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        53                   0                   
     0.09%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42f8a8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        44                   0                   
     0.09%             1  5             L1 hit                                   [k] fput                                   [kernel.kallsyms]        [k] 0xffff8c3bee851840                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        93                   0                   
     0.09%             1  5             L1 hit                                   [k] fput                                   [kernel.kallsyms]        [k] 0xffff8c3c3908e9c0                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        41                   0                   
     0.09%             1  5             L1 hit                                   [.] g_mutex_lock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                   [heap]              None          L1 or L2 hit            Yes      N/A        68                   0                   
     0.09%             1  5             L1 hit                                   [.] g_mutex_lock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                   [heap]              None          L1 or L2 hit            Yes      N/A        45                   0                   
     0.09%             1  5             L1 hit                                   [.] g_source_ref                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46688bb8                   [heap]              None          L1 or L2 hit            Yes      N/A        54                   0                   
