# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/mem-loads-aux/'
# Total weight : 1699
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.18%             3  0             N/A                                      [.] 0x000000000094d068               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094d152               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094d1fe               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094ee77               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094f4aa               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x0000000000c672a2               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x0000000000c6fc38               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [k] __folio_batch_add_and_move       [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [k] __hrtimer_init                   [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [k] commit_merge                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] curr_cflags                      qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] g_hash_table_remove_all          libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] g_ptr_array_add                  libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [k] idr_find                         [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [k] lru_gen_add_folio                [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] qemu_mutex_unlock_impl           qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] translator_loop                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced22116c8               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced22674ef               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced328746c               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced4d2980f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced520d696               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced7b180bf               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fced7b181d8               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fcee31c9821               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x00007fcee31c9842               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094a778               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094b04d               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094b27f               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094b2a5               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094b40f               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094cfb3               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094d006               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094d0ce               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094d0f0               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094d140               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094d1e9               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094e06e               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094e098               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094e84b               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094e8a8               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094f4ae               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             2  0             N/A                                      [.] 0x000000000094f4d0               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
