# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 41  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1979
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol                                 Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ..........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     3.97%             1  5             L1 hit                                   [k] fput                        [kernel.kallsyms]        [k] 0xffff8c3c99d13300  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] g_thread_self               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] hrtimer_start_range_ns      [kernel.kallsyms]        [k] 0xffffd3a84d42f4b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] kvm_ioapic_set_irq          [kernel.kallsyms]        [k] 0xffffd3a84d42fac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] local_clock_noinstr         [kernel.kallsyms]        [k] 0xffffd3a8401abe78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] pick_eevdf                  [kernel.kallsyms]        [k] 0xffffd3a8401abdc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] remove_wait_queue           [kernel.kallsyms]        [k] 0xffffd3a84d42fe00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] set_next_entity             [kernel.kallsyms]        [k] 0xffffd3a8401abdd8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] timerlistgroup_deadline_ns  qemu-system-x86_64       [.] 0x00007ffef8c05c90  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] tomoyo_path_number_perm     [kernel.kallsyms]        [k] 0xffffd3a84d42fa40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] tty_poll                    [kernel.kallsyms]        [k] 0xffffd3a84d42fa00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] 0x000000000005e0a6          libglib-2.0.so.0.8400.4  [.] 0x000055eb46687df0  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] 0x000000000005d935          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] 0x000000000005d9d9          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] 0x000000000005debd          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] 0x0000000000b1d40b          qemu-system-x86_64       [.] 0x00007ffef8c05d58  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.79%             1  0             L3 miss                                  [k] __flush_work                [kernel.kallsyms]        [k] 0xffffd3a84d42f8a0  [kernel.kallsyms]  N/A           L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To see callchains in a more compact form: perf report -g folded)
#
