# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12  of event 'cpu_core/mem-loads-aux/'
# Total weight : 12
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.49%             1  91            L3 hit                                   [k] task_mm_cid_work                         [kernel.kallsyms]        [k] 0xffff8c3f0f736940                             [kernel.kallsyms]        None          L2 miss                 No       N/A        379                  0                   
     0.48%             1  90            LFB/MAB hit                              [k] _raw_spin_lock_irq                       [kernel.kallsyms]        [k] 0xffff8c3bc0059c00                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        92                   0                   
     0.48%             1  90            LFB/MAB hit                              [k] avg_vruntime                             [kernel.kallsyms]        [k] 0xffff8c3bc401a238                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        100                  0                   
     0.48%             1  90            LFB/MAB hit                              [k] vruntime_eligible                        [kernel.kallsyms]        [k] 0xffff8c3bc401a250                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        92                   0                   
     0.48%             1  89            L3 hit                                   [k] tty_chars_in_buffer                      [kernel.kallsyms]        [k] pty_unix98_ops+0x58                            [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        91                   0                   
     0.46%             1  85            L1 hit                                   [k] __srcu_read_lock                         [kernel.kallsyms]        [k] 0xffffd3a84b233adc                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        87                   0                   
     0.46%             1  85            L3 hit                                   [k] update_load_avg                          [kernel.kallsyms]        [k] 0xffff8c3bc790f0c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        87                   0                   
     0.45%             1  84            LFB/MAB hit                              [k] avg_vruntime                             [kernel.kallsyms]        [k] 0xffff8c3bfbe2f028                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        91                   0                   
     0.45%             1  84            LFB/MAB hit                              [k] get_jiffies_update                       [kernel.kallsyms]        [k] jiffies_seq+0x0                                [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        86                   0                   
     0.45%             1  83            LFB/MAB hit                              [k] psi_group_change                         [kernel.kallsyms]        [k] psi_system+0x30                                [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       97                   0                   
     0.44%             1  81            LFB/MAB hit                              [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        85                   0                   
