# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44  of event 'cpu_core/mem-loads-aux/'
# Total weight : 44
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.31%             1  5             L1 hit                                   [k] __hrtimer_next_event_base          [kernel.kallsyms]        [k] 0xffffd3a8401abe38  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __hrtimer_run_queues               [kernel.kallsyms]        [k] 0xffff8c3f0f3368f8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __perf_event_task_sched_in         [kernel.kallsyms]        [k] 0xffffd3a84b2338a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __perf_event_task_sched_out        [kernel.kallsyms]        [k] 0xffffd3a8401abe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __perf_event_task_sched_out        [kernel.kallsyms]        [k] 0xffffd3a84d42f7d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __pollwait                         [kernel.kallsyms]        [k] 0xffffd3a84d42fb68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __pollwait                         [kernel.kallsyms]        [k] 0xffffd3a84d42fc78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __rb_insert_augmented              [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa10  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __schedule                         [kernel.kallsyms]        [k] 0xffff8c3d4f3f5808  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __schedule                         [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __schedule                         [kernel.kallsyms]        [k] 0xffff8c3f0f3369b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a9c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffffd3a8401abcc4  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffffd3a8401abcc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffffd3a8401abce8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffffd3a84d42f820  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] 0xffff8c3bc790f0c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] 0xffffd3a8401abce0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] 0xffffd3a8401abd78  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] 0xffffd3a84d42f5d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] 0xffffd3a84d42f6a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] 0xffffd3a84d42f6e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] __vdso_gettimeofday                [vdso]                   [.] 0x00007ffef8c05d08  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] __vdso_gettimeofday                [vdso]                   [.] 0x00007ffef8c05d30  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __x64_sys_ioctl                    [kernel.kallsyms]        [k] 0xffffd3a84d42fd40  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __x64_sys_ppoll                    [kernel.kallsyms]        [k] 0xffffd3a84d42fb28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __x64_sys_ppoll                    [kernel.kallsyms]        [k] 0xffffd3a84d42fd80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_lock                     [kernel.kallsyms]        [k] 0xffff8c3f0f225e40  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_lock                     [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave             [kernel.kallsyms]        [k] 0xffff8c3c0532f1f0  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave             [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave             [kernel.kallsyms]        [k] 0xffffd3a84d42f758  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_unlock_irq               [kernel.kallsyms]        [k] 0xffff8c3bc0059c00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] _raw_spin_unlock_irqrestore        [kernel.kallsyms]        [k] 0xffff8c3c049fa400  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] aa_sk_perm                         [kernel.kallsyms]        [k] 0xffffd3a84d42fa50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] accel_ioctl_begin                  qemu-system-x86_64       [.] 0x00007ffef8c05b98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] add_wait_queue                     [kernel.kallsyms]        [k] 0xffff8c3bd20d39d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
