# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28  of event 'cpu_core/mem-loads-aux/'
# Total weight : 28
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.61%             1  62            L3 hit                                   [k] context_tracking_recursion_enter  [kernel.kallsyms]        [k] 0xffff8c3f0f330ba4                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        73                   0                   
     0.60%             1  61            LFB/MAB hit                              [k] __put_partials                    [kernel.kallsyms]        [k] 0xfffffcaf00e52e00                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        166                  0                   
     0.59%             1  60            LFB/MAB hit                              [k] intel_guest_get_msrs              [kernel.kallsyms]        [k] x86_pmu+0x199                              [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        62                   0                   
     0.59%             1  60            L3 hit                                   [k] __schedule                        [kernel.kallsyms]        [k] 0xffff8c3bc0dedc80                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        62                   0                   
     0.58%             1  59            LFB/MAB hit                              [k] psi_group_change                  [kernel.kallsyms]        [k] 0xfffff3a83f94f5c0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        104                  0                   
     0.58%             1  59            L3 hit                                   [k] update_load_avg                   [kernel.kallsyms]        [k] 0xffff8c3bfbe2f188                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        61                   0                   
     0.57%             1  58            LFB/MAB hit                              [k] __schedule                        [kernel.kallsyms]        [k] 0xffffd3a84d42f8a8                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        60                   0                   
     0.57%             1  58            L3 hit                                   [.] qemu_set_irq                      qemu-system-x86_64       [.] 0x000055eb46e20a40                         [heap]              None          L2 miss                 No       N/A        79                   0                   
     0.56%             1  57            LFB/MAB hit                              [k] __switch_to_asm                   [kernel.kallsyms]        [k] 0xffffd3a84d42f890                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        302                  0                   
     0.56%             1  57            L3 hit                                   [k] cpuidle_enter_state               [kernel.kallsyms]        [k] intel_idle_driver+0x1f8                    [kernel.kallsyms]   None          L2 miss                 No       N/A        88                   0                   
     0.56%             1  57            L3 hit                                   [k] kvm_irq_map_gsi                   [kernel.kallsyms]        [k] 0xffff8c3c3aee15c0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        59                   0                   
     0.55%             1  56            L3 hit                                   [k] place_entity                      [kernel.kallsyms]        [k] sysctl_sched_base_slice+0x0                [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        58                   0                   
     0.53%             1  54            LFB/MAB hit                              [k] psi_group_change                  [kernel.kallsyms]        [k] 0xfffff3a83f962d40                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        56                   0                   
     0.46%             1  47            L3 hit                                   [k] enqueue_entity                    [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a50                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        190                  0                   
     0.42%             1  43            LFB/MAB hit                              [.] 0x00000000006cfd6b                qemu-system-x86_64       [.] 0x000055eb47454060                         [heap]              None          L1 or L2 hit            No       N/A        45                   0                   
     0.37%             1  37            LFB/MAB hit                              [.] qemu_event_reset                  qemu-system-x86_64       [.] 0x000055eb466864a0                         [heap]              None          L1 or L2 hit            Yes      N/A        39                   0                   
     0.36%             1  36            LFB/MAB hit                              [k] psi_group_change                  [kernel.kallsyms]        [k] 0xfffff3a83f9624c4                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        38                   0                   
     0.35%             1  35            LFB/MAB hit                              [k] fdget                             [kernel.kallsyms]        [k] 0xffff8c3c3908e3c0                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.35%             1  35            LFB/MAB hit                              [.] pthread_mutex_lock                libc.so.6                [.] 0x000055eb11814fc0                         anon                None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.32%             1  32            LFB/MAB hit                              [k] update_process_times              [kernel.kallsyms]        [k] jiffies_64+0x0                             [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        35                   0                   
     0.31%             1  31            LFB/MAB hit                              [k] _raw_spin_lock_irqsave            [kernel.kallsyms]        [k] 0xffff8c3bc5640040                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        33                   0                   
     0.21%             1  21            LFB/MAB hit                              [.] qemu_set_irq                      qemu-system-x86_64       [.] 0x000055eb46e20a48                         [heap]              None          L1 or L2 hit            No       N/A        37                   0                   
     0.15%             1  15            L2 hit                                   [k] native_irq_return_iret            [kernel.kallsyms]        [k] 0xfffffe1fb61a8010                         [unknown]           None          L1 or L2 hit            No       N/A        33                   0                   
     0.12%             1  12            LFB/MAB hit                              [k] update_curr                       [kernel.kallsyms]        [k] 0xffff8c3bd4ee8b64                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       196                  0                   
     0.12%             1  12            LFB/MAB hit                              [k] update_curr                       [kernel.kallsyms]        [k] 0xffff8c3bfbe2f010                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       73                   0                   
     0.05%             1  5             L1 hit                                   [k] __ct_user_exit                    [kernel.kallsyms]        [k] 0xffffd3a84b233ba8                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        95                   0                   
     0.05%             1  5             L1 hit                                   [k] __flush_work                      [kernel.kallsyms]        [k] 0xffffd3a84d42f7f0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        46                   0                   
     0.05%             1  5             L1 hit                                   [k] __iommu_map                       [kernel.kallsyms]        [k] 0xffff8c3bc1bd72c0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        56                   0                   
     0.05%             1  5             L1 hit                                   [k] __rcu_read_unlock                 [kernel.kallsyms]        [k] 0xffffd3a84d42fc10                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       40                   0                   
     0.05%             1  5             L1 hit                                   [k] __switch_to_xtra                  [kernel.kallsyms]        [k] 0xffff8c3cc7d74d40                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        84                   0                   
     0.05%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq          [kernel.kallsyms]        [k] 0xffff8c3bc401a29c                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        168                  0                   
     0.05%             1  5             L1 hit                                   [k] __update_load_avg_se              [kernel.kallsyms]        [k] 0xffff8c3bc401a4c8                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        401                  0                   
     0.05%             1  5             L1 hit                                   [k] __update_load_avg_se              [kernel.kallsyms]        [k] 0xffff8c3bc790f0d8                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        250                  0                   
     0.05%             1  5             L1 hit                                   [k] _raw_spin_lock_irq                [kernel.kallsyms]        [k] 0xffff8c3bd20d39c0                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        71                   0                   
     0.05%             1  5             L1 hit                                   [k] _raw_spin_lock_irq                [kernel.kallsyms]        [k] 0xffffd3a84d42f650                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       76                   0                   
     0.05%             1  5             L1 hit                                   [k] _raw_spin_rq_lock_irqsave         [kernel.kallsyms]        [k] 0xffffd3a8401abdf8                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       206                  0                   
     0.05%             1  5             L1 hit                                   [k] blk_account_io_done               [kernel.kallsyms]        [k] 0xffff8c3bda12d418                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       73                   0                   
     0.05%             1  5             L1 hit                                   [k] dequeue_entity                    [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e70                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        33                   0                   
     0.05%             1  5             L1 hit                                   [k] eventfd_poll                      [kernel.kallsyms]        [k] 0xffffd3a84d42f99c                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        74                   0                   
     0.05%             1  5             L1 hit                                   [k] ext4_bio_write_folio              [kernel.kallsyms]        [k] 0xffff8c3c86c3a9c0                         [kernel.kallsyms]   None          L1 or L2 hit            Yes      Addr       54                   0                   
     0.05%             1  5             L1 hit                                   [k] ext4_end_bio                      [kernel.kallsyms]        [k] 0xffffd3a84007ee30                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       56                   0                   
