# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 813  of event 'cpu_core/mem-loads-aux/'
# Total weight : 817
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.37%             3  0             N/A                                      [.] 0x000000000094b40f          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094b426          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cf18          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cf20          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cff4          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094d0be          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094d5d4          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094e87f          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094e8a8          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000095007a          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] memcpy@plt                  libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] slirp_pollfds_fill          libslirp.so.0.4.0        [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [k] sync_regs                   [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [k] wakeup_preempt              [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fced4d2943c          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fced4d29444          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee2d8cb71          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee314e1f7          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee314e1ff          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee314e269          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee31c979e          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee31c97c8          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x00007fcee31c9cab          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x000000000094a6d6          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x000000000094a790          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             2  0             N/A                                      [.] 0x000000000094a7a5          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
