# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 780  of event 'cpu_core/mem-loads-aux/'
# Total weight : 788
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.25%             2  0             N/A                                      [.] 0x00007fced4d29297               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fced4d29444               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fced5844769               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee314e269               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c974b               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c97cd               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c9842               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094a778               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094a77e               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094a796               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094a7a5               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b108               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b298               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b2a5               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b40f               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094cfa4               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094cfe7               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094cff4               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094d04b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094d068               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094d08b               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094d0be               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094d0f0               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094d5dd               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094e088               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094e098               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094e647               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094e869               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094f4f6               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094f5c2               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x0000000000950067               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x0000000000950083               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x0000000000c672a2               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x0000000000c6fc7f               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [k] __irq_work_queue_local           [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] assert_hflags_rebuild_correctly  qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] cpu_exec_start                   qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [k] ct_kernel_enter.isra.0           [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
