# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/mem-loads-aux/'
# Total weight : 4832
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.04%             2  0             N/A                                      [.] curr_cflags                         qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] helper_simd_tblx                    qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] ppoll                               libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] slirp_pollfds_fill                  libslirp.so.0.4.0        [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x00007fcee31c971d                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x00007fcee31c9789                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x00007fcee31c9d69                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094a6de                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094a778                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b046                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b07c                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b0b8                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b120                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b288                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b292                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b316                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094b416                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094d040                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094d0be                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094d5d4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094f4d9                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x000000000094f4fd                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x0000000000c6772b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.04%             2  0             N/A                                      [.] 0x0000000000c6fc38                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
