# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/mem-loads-aux/'
# Total weight : 3470
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.06%             2  0             N/A                                      [.] 0x00007fcee31c9152               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x00007fcee31c970f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x00007fcee31c974b               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x00007fcee31c9c3c               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x00007fcee31c9c7f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x000000000005c2f7               libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x000000000005c498               libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x0000000000934baf               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x000000000094a778               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.06%             2  0             N/A                                      [.] 0x000000000094a7a5               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
