# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    85.71%             6  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    14.29%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 23  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2476
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                        Shared Object            Data Symbol             Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ............................  .......................  ......................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     3.23%             1  5             L1 hit                                   [k] poll_freewait                      [kernel.kallsyms]        [k] 0xffffd3a84d42f8b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] psi_task_switch                    [kernel.kallsyms]        [k] 0xffffd3a84d42f5e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [.] pthread_mutex_lock                 libc.so.6                [.] 0x00007ffef8c05d00  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] record_times                       [kernel.kallsyms]        [k] 0xfffff3a83f94f5ec  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode_prepare  [kernel.kallsyms]        [k] 0xffffd3a84d42fd90  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode_prepare  [kernel.kallsyms]        [k] 0xffffd3a84d42fe10  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [.] 0x00000000000be65e                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [.] 0x000000000005e05a                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To record every process run by a user: perf record -u <user>)
#
